 X,Y,Z,U,V,P
     0.41250,    -0.07692,     0.00000,     0.00433,     0.02235,    -0.16548
     0.41250,    -0.03846,     0.00000,     0.06509,     0.01692,    -0.16544
     0.41250,     0.00000,     0.00000,     0.18019,     0.00789,    -0.16530
     0.41250,     0.03846,     0.00000,     0.37660,    -0.00308,    -0.16508
     0.41250,     0.07692,     0.00000,     0.64899,    -0.01141,    -0.16479
     0.41250,     0.11538,     0.00000,     0.93599,    -0.01521,    -0.16433
     0.41250,     0.15385,     0.00000,     1.17585,    -0.01698,    -0.16361
     0.41250,     0.19231,     0.00000,     1.34825,    -0.01768,    -0.16264
     0.41250,     0.23077,     0.00000,     1.45029,    -0.01752,    -0.16149
     0.41250,     0.26923,     0.00000,     1.48169,    -0.01660,    -0.16029
     0.41250,     0.30769,     0.00000,     1.44240,    -0.01500,    -0.15915
     0.41250,     0.34615,     0.00000,     1.33240,    -0.01277,    -0.15818
     0.41250,     0.38462,     0.00000,     1.15173,    -0.00997,    -0.15747
     0.41250,     0.42308,     0.00000,     0.90072,    -0.00668,    -0.15704
     0.41250,     0.46154,     0.00000,     0.58127,    -0.00308,    -0.15687
     0.41250,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15684
     0.45000,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16496
     0.45000,    -0.46154,     0.00000,    -0.01256,     0.00093,    -0.16495
     0.45000,    -0.42308,     0.00000,    -0.02147,     0.00272,    -0.16493
     0.45000,    -0.38462,     0.00000,    -0.03042,     0.00526,    -0.16492
     0.45000,    -0.34615,     0.00000,    -0.03883,     0.00840,    -0.16493
     0.45000,    -0.30769,     0.00000,    -0.04599,     0.01192,    -0.16496
     0.45000,    -0.26923,     0.00000,    -0.05108,     0.01554,    -0.16502
     0.45000,    -0.23077,     0.00000,    -0.05317,     0.01892,    -0.16511
     0.45000,    -0.19231,     0.00000,    -0.05109,     0.02167,    -0.16522
     0.45000,    -0.15385,     0.00000,    -0.04303,     0.02333,    -0.16533
     0.45000,    -0.11538,     0.00000,    -0.02563,     0.02335,    -0.16543
     0.45000,    -0.07692,     0.00000,     0.00806,     0.02105,    -0.16547
     0.45000,    -0.03846,     0.00000,     0.07204,     0.01567,    -0.16544
     0.45000,     0.00000,     0.00000,     0.18972,     0.00697,    -0.16531
     0.45000,     0.03846,     0.00000,     0.38586,    -0.00353,    -0.16510
     0.45000,     0.07692,     0.00000,     0.65492,    -0.01176,    -0.16483
     0.45000,     0.11538,     0.00000,     0.93878,    -0.01573,    -0.16441
     0.45000,     0.15385,     0.00000,     1.17710,    -0.01761,    -0.16376
     0.45000,     0.19231,     0.00000,     1.34853,    -0.01836,    -0.16289
     0.45000,     0.23077,     0.00000,     1.44977,    -0.01822,    -0.16186
     0.45000,     0.26923,     0.00000,     1.48044,    -0.01728,    -0.16079
     0.45000,     0.30769,     0.00000,     1.44049,    -0.01561,    -0.15977
     0.45000,     0.34615,     0.00000,     1.32989,    -0.01328,    -0.15892
     0.45000,     0.38462,     0.00000,     1.14869,    -0.01035,    -0.15829
     0.45000,     0.42308,     0.00000,     0.89729,    -0.00691,    -0.15792
     0.45000,     0.46154,     0.00000,     0.57796,    -0.00316,    -0.15778
     0.45000,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15776
     0.48750,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16499
     0.48750,    -0.46154,     0.00000,    -0.01388,     0.00093,    -0.16497
     0.48750,    -0.42308,     0.00000,    -0.02358,     0.00272,    -0.16495
     0.48750,    -0.38462,     0.00000,    -0.03318,     0.00525,    -0.16494
     0.48750,    -0.34615,     0.00000,    -0.04204,     0.00834,    -0.16495
     0.48750,    -0.30769,     0.00000,    -0.04941,     0.01177,    -0.16498
     0.48750,    -0.26923,     0.00000,    -0.05441,     0.01526,    -0.16504
     0.48750,    -0.23077,     0.00000,    -0.05606,     0.01846,    -0.16513
     0.48750,    -0.19231,     0.00000,    -0.05313,     0.02101,    -0.16523
     0.48750,    -0.15385,     0.00000,    -0.04375,     0.02247,    -0.16534
     0.48750,    -0.11538,     0.00000,    -0.02444,     0.02231,    -0.16543
     0.48750,    -0.07692,     0.00000,     0.01182,     0.01989,    -0.16547
